Country,Name,State,Year,Longitude,Latitude
India,Ravishankar Sagar Dam,Chhattisgarh,1979,81.494083,20.387674
India,Rikhi Dam,Chhattisgarh,1991,83.207312,23.027247
India,Risewada Dam,Chhattisgarh,1986,81.494083,20.387674
India,Ruse Dam,Chhattisgarh,1980,81.088448,21.290807
India,Sadamar Tank,Chhattisgarh,1988,82.208029,22.852551
India,Sagasoti Dam,Chhattisgarh,1975,83.654615,23.679626
India,Saila Dam,Chhattisgarh,1991,82.316531,22.376478
India,Sajapani Dam,Chhattisgarh,1981,83.553354,22.49626
India,Saliyadih Dam,Chhattisgarh,2004,83.477832,22.849419
India,Salkha Dam,Chhattisgarh,1991,83.477832,22.849419
India,Sawatpur Dam,Chhattisgarh,1977,81.779863,22.213282
India,Silphoda Dam,Chhattisgarh,1986,83.179538,23.127044
India,Singhora Dam,Chhattisgarh,1976,83.089504,21.587355
India,Sistringa Dam,Chhattisgarh,1991,83.444075,22.535178
India,Sondur Dam,Chhattisgarh,1988,81.835896,20.286836
India,Sonpur Dam,Chhattisgarh,1979,81.494083,20.387674
India,Styanagar Dam,Chhattisgarh,1989,83.179538,23.127044
India,Tamdand Dam,Chhattisgarh,1980,82.208029,22.852551
India,Tandula Dam,Chhattisgarh,1912,81.175204,20.739418
India,Tartora Dam,Chhattisgarh,1988,82.208029,22.852551
India,Thakurdiya Dam,Chhattisgarh,1961,82.396748,21.0352
India,Thelka Dam,Chhattisgarh,1965,81.782389,21.085512
India,Torenga Dam,Chhattisgarh,1976,81.775065,21.230826
India,Toulidih Dam,Chhattisgarh,1976,82.529916,21.670907
India,Tulutolia Dam,Chhattisgarh,1975,82.097303,21.906898
India,Tumdih Dam,Chhattisgarh,1991,83.347949,22.133911
India,Tungal Dam,Chhattisgarh,1980,81.650409,18.414148
India,Turamarka Dam,Chhattisgarh,1982,81.961916,19.181898
India,Turga Dam,Chhattisgarh,1999,83.207312,23.027247
India,Udka Dam,Chhattisgarh,1991,81.462745,22.171975
India,Uliya Dam,Chhattisgarh,1991,83.362156,23.609262
India,Uperwah Dam,Chhattisgarh,1985,81.12242,21.195173
India,Anjunam Dam,Goa,1989,74.027072,15.584964
India,M.I. Dam,Goa,2000,74.036161,15.015444
India,Salaulim Dam,Goa,2000,74.117333,15.256222
India,Advana Dam,Gujarat,1998,69.770133,21.678652
India,Aji IV Dam,Gujarat,1999,70.474693,22.690393
India,Alan Sagar Dam,Gujarat,1902,71.567704,21.955863
India,Ambajal Dam,Gujarat,1976,70.782121,21.413565
India,Amirpur Dam,Gujarat,0,70.065348,21.542463
India,Bagad Dam,Gujarat,1982,71.960731,21.20566
India,Bambhanka Dam,Gujarat,1966,70.46903,23.615627
India,Bandi Dam,Gujarat,2003,69.592391,23.449646
India,Bhadar II Dam,Gujarat,2003,70.474656,21.831161
India,Bhadar(Mena Mortalav) Dam,Gujarat,1985,73.827417,23.306828
India,Bhadar(S) Dam,Gujarat,1985,70.638368,21.78477
India,Bhimdad Dam,Gujarat,1953,71.659472,22.149711
India,Brahmani-II Dam,Gujarat,0,71.207841,23.00684
India,Dadar Dam,Gujarat,1975,70.450659,22.164618
India,Demi III Dam,Gujarat,2000,70.474693,22.690393
India,Dhatarwadi-II Dam,Gujarat,1996,71.309156,20.979562
India,Gadhada- Rasaji Dam,Gujarat,1979,70.328122,22.430016
India,Gadhki Dam,Gujarat,2004,69.260237,22.105574
India,Gajansagar Dam,Gujarat,1960,69.16588,23.445561
India,Gajod Dam,Gujarat,1955,69.604149,23.057214
India,Ghela Somnath/ Ghelo(S) Dam,Gujarat,0,71.567704,21.955863
India,Goma Dam,Gujarat,1972,71.659472,22.149711
India,Guneli Dam,Gujarat,1968,73.369735,23.017278
India,Hamipara Dam,Gujarat,0,71.978992,21.567175
India,Hathmati Dam,Gujarat,1989,73.080981,23.750002
India,Hiran-I Dam,Gujarat,1959,70.671785,21.041978
India,Hiran-II Dam,Gujarat,1982,70.539163,21.065216
India,Jhuj Dam,Gujarat,1988,73.354327,20.767385
India,Kalindri Dam,Gujarat,1974,69.770133,21.678652
India,Kalubhar Dam,Gujarat,1958,71.567704,21.955863
India,Kapasiya Dam,Gujarat,0,72.192913,24.648458
India,Karjan Dam,Gujarat,1987,73.380984,21.915805
India,Karnuki Dam,Gujarat,2005,70.797649,22.162895
India,Karol(Baugh) Dam,Gujarat,1956,72.782135,23.309903
India,Kaswati Dam,Gujarat,1976,69.740571,23.29317
India,Kharo Dam,Gujarat,0,71.852884,21.556458
India,Khedava Dam,Gujarat,2010,73.136651,23.999076
India,Khodapipar Dam,Gujarat,2000,70.701102,22.514639
India,Khodiyar Dam,Gujarat,1967,71.965294,21.674366
India,Ladoi Dam,Gujarat,1979,70.204254,22.258356
India,Lakhapadar Dam,Gujarat,1988,71.061883,21.341319
India,Lank Dam,Gujarat,0,73.218237,23.165984
